n,startofmaptime,startofmapsteps,totalofmaptime,totalofmapsteps,endconvtime,endconvsteps,totalconvtime,totalconvsteps,cnn,rtl,name,units,clock_time
0,1.5,1500,3073.0,3073000,3074.5,3074500,3074.5,3074500,small2,default,cnn,ns,1.0
1,3242.5,3242500,449979.0,449979000,453221.5,453221500,450147.0,450147000,small2,default,cnn,ns,1.0
2,453389.5,453389500,2441244.0,2441244000,2894633.5,2894633500,2441412.0,2441412000,small2,default,cnn,ns,1.0
