n,startofmaptime,startofmapsteps,totalofmaptime,totalofmapsteps,endconvtime,endconvsteps,totalconvtime,totalconvsteps,cnn,rtl,name,units,clock_time
0,1.5,1500,3073.0,3073000,3074.5,3074500,3074.5,3074500,default4,default,cnn,ns,1.0
1,3242.5,3242500,900123.0,900123000,903365.5,903365500,900291.0,900291000,default4,default,cnn,ns,1.0
2,903533.5,903533500,4882461.0,4882461000,5785994.5,5785994500,4882629.0,4882629000,default4,default,cnn,ns,1.0
3,5786162.5,5786162500,1458204.0,1458204000,7244366.5,7244366500,1458372.0,1458372000,default4,default,cnn,ns,1.0
